t;dt_min;wl_m;dwl_m;wl_ft;dwl_ft;remarks
1975-05-21 06:00;1280;18.776;0.122;61.6;0.4;
1975-05-21 07:00;1340;18.763;0.11;61.56;0.36;
1975-05-21 08:00;1400;18.763;0.11;61.56;0.36;
1975-05-21 09:00;1460;18.757;0.104;61.54;0.34;
1975-05-21 10:00;1520;18.748;0.094;61.51;0.31;
1975-05-21 11:20;1600;18.742;0.088;61.49;0.29; (end recovery)
1975-05-21 11:30;15;18.76;0.107;61.55;0.35;
1975-05-21 11:40;20;18.779;0.125;61.61;0.41;
1975-05-21 11:50;25;18.806;0.152;61.7;0.5;
1975-05-21 12:20;30;18.821;0.168;61.75;0.55;
1975-05-21 12:30;40;19.855;0.201;61.86;0.66;
1975-05-21 12:40;50;19.876;0.223;61.93;0.73;
1975-05-21 12:50;60;19.898;0.244;62;0.8;
